483211f|（なし）
42d547d|work-task-column-mapping.json
7c7bea0|work-task-column-mapping.json
22fb47b|work-task-column-mapping.json、WorkTaskSyncService.ts
7e19940|WorkTaskDetailModal.tsx
9c8cdde|WorkTasksPage.tsx
40ae64d|WorkTasksPage.tsx
007b43f|work-task-column-mapping.json
3ed2235|check-work-tasks-schema.ts、work-task-column-mapping.json
604fd76|work-task-column-mapping.json
21b19da|WorkTasksPage.tsx
7c25dcc|WorkTaskService.ts
7337f4e|workTaskStatusUtils.ts
8109d97|WorkTaskDetailModal.tsx、WorkTasksPage.tsx、workTaskStatusUtils.ts
8fb14d7|workTaskStatusUtils.ts
f3e0741|WorkTaskService.ts、WorkTasksPage.tsx
e8d1068|WorkTasksPage.tsx
7432261|WorkTasksPage.tsx
33c719b|WorkTasksPage.tsx、workTaskStatusUtils.ts
ee08999|WorkTaskColumnMapper.ts、WorkTaskService.ts、WorkTaskDetailModal.tsx、WorkTasksPage.tsx
1f94d6a|WorkTaskDetailModal.tsx
2dde7e6|work-task-column-mapping.json
85a49f5|check-work-tasks-schema.ts、work-task-column-mapping.json
f3ddfce|work-task-column-mapping.json、WorkTaskSyncService.ts
2367cd0|WorkTasksPage.tsx
c7f1095|design.md、requirements.md、tasks.md、check-aa2022-work-task.ts、check-work-tasks-columns.ts、work-task-column-mapping.json、WorkTaskService.ts、WorkTaskDetailModal.tsx
77a77bd|workTaskStatusUtils.ts
dad958b|WorkTaskDetailModal.tsx、WorkTasksPage.tsx、workTaskStatusUtils.ts
0a315da|workTaskStatusUtils.ts
746f5ef|WorkTaskService.ts、WorkTasksPage.tsx
0320f57|WorkTasksPage.tsx
fbf2099|WorkTasksPage.tsx
7ff76ab|WorkTasksPage.tsx、workTaskStatusUtils.ts
9733779|WorkTaskService.ts
ea6c8a0|WorkTaskService.ts
06fdd8b|WorkTaskService.ts、WorkTasksPage.tsx
76f310d|WorkTaskDetailModal.tsx
48263a9|WorkTaskDetailModal.tsx
6a5aee5|WorkTaskDetailModal.tsx
824d97f|WorkTaskDetailModal.tsx
03c3348|WorkTaskDetailModal.tsx
e34e5ca|WorkTaskDetailModal.tsx
7b670cd|WorkTaskDetailModal.tsx
d262139|WorkTaskDetailModal.tsx
dde2a50|WorkTaskDetailModal.tsx
aec1b81|WorkTaskDetailModal.tsx
ef2a539|WorkTaskDetailModal.tsx
f7ce445|design.md、requirements.md、tasks.md、WorkTaskColumnMapper.ts、PriceReductionCompleteButton.tsx
043386b|WorkTaskDetailModal.tsx、WorkTaskSection.tsx、WorkTasksPage.tsx
